========================================================================================================================
FOUND ZONES - CONSOLIDATED REPORT
Generated: 2026-09-15 06:50:36
========================================================================================================================

Total Zones Found: 379
Sorted by: Distance to Demand Zone (closest first)

 44. MSCI   | $  551.99 | Demand: $542.33-$568.93 | Supply: $603.38-$618.84 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.32 | Fresh: D✗S✓
 45. MRVL   | $  225.00 | Demand: $186.15-$232.00 | Supply: $267.31-$312.98 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.09 | Fresh: D✗S✓
 46. MU     | $  940.00 | Demand: $854.35-$957.48 | Supply: $960.19-$1097.47 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.24 | Fresh: D✗S✓
 47. NBIS   | $  218.17 | Demand: $200.30-$230.99 | Supply: $275.57-$298.80 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.21 | Fresh: D✗S✓
 48. NEE    | $   81.42 | Demand: $80.75-$82.60 | Supply: $84.51-$85.33 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.61 | Fresh: D✗S✓
 49. NI     | $   40.97 | Demand: $40.49-$41.08 | Supply: $46.27-$46.72 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:11.04 | Fresh: D✗S✓
 50. ORLY   | $   86.01 | Demand: $84.76-$86.28 | Supply: $91.69-$92.91 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.54 | Fresh: D✗S✓
 51. PCG    | $   13.45 | Demand: $13.09-$15.84 | Supply: $17.18-$17.43 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:10.22 | Fresh: D✗S✓
 52. PEP    | $  135.12 | Demand: $134.69-$142.44 | Supply: $143.00-$145.45 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:18.33 | Fresh: D✗S✓
 53. PH     | $  929.20 | Demand: $875.60-$932.99 | Supply: $955.48-$1003.79 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.49 | Fresh: D✗S✓
 54. Q      | $  117.18 | Demand: $113.33-$121.99 | Supply: $147.02-$161.83 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:7.75 | Fresh: D✗S✓
 55. PWR    | $  622.09 | Demand: $554.12-$637.26 | Supply: $684.00-$735.33 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.91 | Fresh: D✗S✓
 56. RKLB   | $   64.80 | Demand: $58.20-$68.34 | Supply: $101.20-$119.79 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.52 | Fresh: D✗S✓
 57. QQQ    | $  708.85 | Demand: $686.37-$711.28 | Supply: $711.28-$744.76 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.11 | Fresh: D✗S✗
 58. ROL    | $   34.61 | Demand: $34.34-$35.33 | Supply: $46.47-$48.52 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:44.75 | Fresh: D✗S✓
 59. SBUX   | $   99.21 | Demand: $96.90-$99.56 | Supply: $96.90-$103.69 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-1.00 | Fresh: D✗S✗
 60. SBAC   | $  183.99 | Demand: $174.16-$186.93 | Supply: $204.46-$207.85 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.08 | Fresh: D✗S✓
 61. SMCI   | $   37.22 | Demand: $29.14-$38.04 | Supply: $28.61-$44.95 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-1.07 | Fresh: D✗S✗
 62. SNDK   | $ 1589.00 | Demand: $1485.02-$1837.77 | Supply: $1865.11-$2119.90 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.66 | Fresh: D✗S✓
 63. STX    | $  783.95 | Demand: $739.47-$798.96 | Supply: $946.24-$1032.52 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.65 | Fresh: D✗S✓
 64. TER    | $  348.09 | Demand: $328.28-$399.80 | Supply: $380.00-$437.77 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.61 | Fresh: D✗S✓
 65. UDR    | $   34.92 | Demand: $34.83-$35.45 | Supply: $39.26-$39.72 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:45.63 | Fresh: D✗S✓
 66. UAL    | $  107.80 | Demand: $104.15-$110.21 | Supply: $111.83-$116.51 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.10 | Fresh: D✗S✓
 67. VRT    | $  240.81 | Demand: $220.92-$251.71 | Supply: $295.10-$305.19 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.73 | Fresh: D✗S✓
 68. VST    | $  141.81 | Demand: $137.91-$150.50 | Supply: $159.14-$171.35 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.44 | Fresh: D✗S✓
 69. WMB    | $   72.06 | Demand: $70.77-$72.17 | Supply: $74.59-$79.00 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.95 | Fresh: D✗S✓
 70. WY     | $   22.32 | Demand: $21.82-$22.33 | Supply: $24.56-$25.42 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.53 | Fresh: D✗S✓
 71. XLP    | $   83.64 | Demand: $82.15-$83.89 | Supply: $84.40-$85.61 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.51 | Fresh: D✗S✗
 72. XLY    | $  112.28 | Demand: $108.29-$115.23 | Supply: $114.81-$119.51 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.64 | Fresh: D✗S✓
 73. XLB    | $   50.37 | Demand: $49.57-$51.33 | Supply: $51.33-$52.35 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.20 | Fresh: D✗S✓
 74. XYL    | $  106.69 | Demand: $105.47-$109.14 | Supply: $108.80-$110.41 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.74 | Fresh: D✗S✓
 75. ZTS    | $   73.14 | Demand: $71.47-$73.56 | Supply: $79.81-$82.98 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.99 | Fresh: D✗S✓
 76. KEY    | $   21.99 | Demand: $21.14-$21.89 | Supply: $22.45-$22.79 | Dist: $  0.09 ( 24% ATR) [ ] | RR: 1:0.54 | Fresh: D✗S✓
 77. TTD    | $   14.67 | Demand: $12.83-$14.57 | Supply: $19.20-$20.59 | Dist: $  0.10 (  8% ATR) [ ] | RR: 1:2.46 | Fresh: D✗S✓
 78. HBAN   | $   16.93 | Demand: $16.40-$16.80 | Supply: $17.23-$17.61 | Dist: $  0.12 ( 33% ATR) [ ] | RR: 1:0.58 | Fresh: D✗S✓
 79. BEN    | $   33.11 | Demand: $31.84-$32.93 | Supply: $32.88-$34.42 | Dist: $  0.18 ( 19% ATR) [ ] | RR: 1:-0.18 | Fresh: D✗S✗
 80. VMRK   | $   65.66 | Demand: $63.81-$65.47 | Supply: $67.28-$68.22 | Dist: $  0.19 ( 15% ATR) [ ] | RR: 1:0.88 | Fresh: D✗S✓
 81. CSGP   | $   31.11 | Demand: $28.54-$30.89 | Supply: $33.16-$34.77 | Dist: $  0.22 ( 14% ATR) [ ] | RR: 1:0.80 | Fresh: D✗S✓
 82. SW     | $   43.80 | Demand: $41.13-$43.51 | Supply: $44.36-$46.72 | Dist: $  0.29 ( 14% ATR) [ ] | RR: 1:0.21 | Fresh: D✗S✓
 83. HST    | $   22.41 | Demand: $21.51-$22.00 | Supply: $24.49-$24.89 | Dist: $  0.41 ( 58% ATR) [✓] | RR: 1:2.31 | Fresh: D✓S✓
 84. CI     | $  287.20 | Demand: $275.29-$286.73 | Supply: $290.39-$298.00 | Dist: $  0.47 (  5% ATR) [ ] | RR: 1:0.27 | Fresh: D✗S✗
 85. ALB    | $  119.07 | Demand: $112.22-$118.56 | Supply: $159.74-$174.33 | Dist: $  0.51 ( 11% ATR) [ ] | RR: 1:5.94 | Fresh: D✗S✓
 86. NDSN   | $  308.36 | Demand: $298.14-$307.74 | Supply: $308.46-$313.79 | Dist: $  0.62 ( 13% ATR) [✓] | RR: 1:0.01 | Fresh: D✓S✗
 87. TEL    | $  203.74 | Demand: $194.34-$203.11 | Supply: $207.57-$212.33 | Dist: $  0.63 ( 10% ATR) [ ] | RR: 1:0.41 | Fresh: D✗S✓
 88. VWO    | $   59.28 | Demand: $57.35-$58.64 | Supply: $59.11-$60.98 | Dist: $  0.64 ( 90% ATR) [✓] | RR: 1:-0.09 | Fresh: D✓S✗
 89. DVA    | $  188.89 | Demand: $178.90-$188.24 | Supply: $204.98-$211.80 | Dist: $  0.65 (  7% ATR) [ ] | RR: 1:1.61 | Fresh: D✗S✓
 90. CPRT   | $   31.55 | Demand: $29.50-$30.89 | Supply: $31.28-$32.15 | Dist: $  0.66 ( 65% ATR) [ ] | RR: 1:-0.13 | Fresh: D✗S✗
 91. L      | $  109.11 | Demand: $106.92-$108.41 | Supply: $110.35-$112.31 | Dist: $  0.70 ( 37% ATR) [ ] | RR: 1:0.57 | Fresh: D✗S✓
 92. BSX    | $   44.54 | Demand: $42.25-$43.76 | Supply: $45.99-$48.65 | Dist: $  0.78 ( 42% ATR) [✓] | RR: 1:0.63 | Fresh: D✓S✓
 93. KHC    | $   23.95 | Demand: $22.00-$23.14 | Supply: $25.04-$25.52 | Dist: $  0.81 ( 94% ATR) [✓] | RR: 1:0.56 | Fresh: D✓S✓
 94. PDD    | $   78.73 | Demand: $75.50-$77.88 | Supply: $80.82-$84.44 | Dist: $  0.86 ( 42% ATR) [ ] | RR: 1:0.65 | Fresh: D✗S✓
 95. DOW    | $   29.04 | Demand: $27.14-$28.18 | Supply: $32.45-$33.39 | Dist: $  0.86 ( 67% ATR) [✓] | RR: 1:1.79 | Fresh: D✓S✓
 96. EQT    | $   53.20 | Demand: $50.61-$52.29 | Supply: $53.85-$56.47 | Dist: $  0.91 ( 65% ATR) [✓] | RR: 1:0.25 | Fresh: D✓S✗
 97. TFC    | $   50.85 | Demand: $47.80-$49.93 | Supply: $48.31-$52.07 | Dist: $  0.92 (106% ATR) [ ] | RR: 1:-0.83 | Fresh: D✓S✗
 98. VTRS   | $   16.48 | Demand: $14.94-$15.52 | Supply: $16.61-$17.16 | Dist: $  0.96 (182% ATR) [ ] | RR: 1:0.08 | Fresh: D✓S✗
 99. PSKY   | $   10.94 | Demand: $9.35-$9.96 | Supply: $10.78-$11.20 | Dist: $  0.98 (270% ATR) [ ] | RR: 1:-0.10 | Fresh: D✓S✗
100. RF     | $   30.15 | Demand: $28.48-$29.12 | Supply: $29.93-$31.04 | Dist: $  1.03 (192% ATR) [ ] | RR: 1:-0.13 | Fresh: D✓S✗
101. DLR    | $  176.57 | Demand: $172.01-$175.50 | Supply: $186.32-$191.89 | Dist: $  1.07 ( 15% ATR) [✓] | RR: 1:2.14 | Fresh: D✓S✓
102. WBD    | $   28.00 | Demand: $26.18-$26.87 | Supply: $28.43-$28.68 | Dist: $  1.13 (212% ATR) [ ] | RR: 1:0.24 | Fresh: D✓S✓
103. FITB   | $   55.29 | Demand: $52.30-$54.16 | Supply: $52.95-$55.30 | Dist: $  1.13 (106% ATR) [ ] | RR: 1:-0.78 | Fresh: D✗S✗
104. IBKR   | $   89.49 | Demand: $83.12-$88.30 | Supply: $88.90-$93.10 | Dist: $  1.19 ( 36% ATR) [✓] | RR: 1:-0.09 | Fresh: D✓S✗
105. ARE    | $   54.29 | Demand: $48.86-$53.03 | Supply: $51.47-$55.14 | Dist: $  1.26 ( 63% ATR) [ ] | RR: 1:-0.52 | Fresh: D✗S✗
106. MNST   | $   44.27 | Demand: $42.19-$43.01 | Supply: $96.05-$97.87 | Dist: $  1.26 ( 23% ATR) [✓] | RR: 1:24.83 | Fresh: D✓S✓
107. PCAR   | $  122.23 | Demand: $116.36-$120.92 | Supply: $122.90-$126.24 | Dist: $  1.31 ( 38% ATR) [ ] | RR: 1:0.11 | Fresh: D✗S✗
108. GOOG   | $  342.97 | Demand: $314.89-$341.64 | Supply: $339.71-$358.20 | Dist: $  1.33 ( 10% ATR) [ ] | RR: 1:-0.12 | Fresh: D✗S✗
109. VEA    | $   71.45 | Demand: $68.60-$69.96 | Supply: $71.80-$72.80 | Dist: $  1.49 (161% ATR) [ ] | RR: 1:0.12 | Fresh: D✓S✗
110. WRB    | $   70.46 | Demand: $67.78-$68.94 | Supply: $70.62-$71.56 | Dist: $  1.52 (110% ATR) [ ] | RR: 1:0.06 | Fresh: D✓S✗
111. FISV   | $   50.48 | Demand: $47.04-$48.95 | Supply: $51.78-$54.39 | Dist: $  1.53 ( 72% ATR) [✓] | RR: 1:0.38 | Fresh: D✓S✗
112. ORCL   | $  141.31 | Demand: $127.60-$139.65 | Supply: $175.28-$220.50 | Dist: $  1.66 ( 23% ATR) [✓] | RR: 1:2.48 | Fresh: D✓S✓
113. STZ    | $  124.36 | Demand: $120.25-$122.67 | Supply: $147.25-$150.99 | Dist: $  1.69 ( 60% ATR) [ ] | RR: 1:5.57 | Fresh: D✗S✓
114. GIS    | $   36.03 | Demand: $33.63-$34.31 | Supply: $35.73-$37.77 | Dist: $  1.72 (154% ATR) [ ] | RR: 1:-0.13 | Fresh: D✓S✗
