========================================================================================================================
FOUND ZONES - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

Total Zones Found: 225
Sorted by: Distance to Demand Zone (closest first)

 64. IP     | $   37.36 | Demand: $29.27-$30.90 | Supply: $36.21-$37.79 | Dist: $  6.46 (515% ATR) [ ] | RR: 1:-0.14 | Fresh: D✓S✗
 65. SWK    | $   96.12 | Demand: $88.39-$89.60 | Supply: $98.10-$103.61 | Dist: $  6.52 (272% ATR) [ ] | RR: 1:0.26 | Fresh: D✗S✓
 66. CHD    | $  102.56 | Demand: $94.03-$95.73 | Supply: $100.87-$103.65 | Dist: $  6.83 (369% ATR) [ ] | RR: 1:-0.20 | Fresh: D✗S✗
 67. PCAR   | $  119.16 | Demand: $107.80-$112.28 | Supply: $121.92-$124.37 | Dist: $  6.88 (243% ATR) [ ] | RR: 1:0.24 | Fresh: D✗S✓
 68. RKLB   | $   75.43 | Demand: $58.21-$68.24 | Supply: $121.00-$135.41 | Dist: $  7.19 (209% ATR) [ ] | RR: 1:2.65 | Fresh: D✗S✓
 69. ACGL   | $   99.89 | Demand: $90.93-$92.69 | Supply: $101.07-$102.22 | Dist: $  7.20 (363% ATR) [ ] | RR: 1:0.13 | Fresh: D✓S✓
 70. REG    | $   80.73 | Demand: $72.52-$73.42 | Supply: $80.72-$81.92 | Dist: $  7.31 (523% ATR) [ ] | RR: 1:-0.00 | Fresh: D✗S✗
 71. TJX    | $  136.78 | Demand: $122.81-$129.46 | Supply: $150.60-$153.55 | Dist: $  7.32 (245% ATR) [ ] | RR: 1:0.99 | Fresh: D✗S✓
 72. HIG    | $  141.44 | Demand: $131.68-$134.11 | Supply: $139.75-$145.74 | Dist: $  7.33 (258% ATR) [ ] | RR: 1:-0.17 | Fresh: D✗S✗
 73. SLB    | $   55.35 | Demand: $46.43-$48.00 | Supply: $53.12-$60.46 | Dist: $  7.35 (384% ATR) [ ] | RR: 1:-0.25 | Fresh: D✓S✗
 74. PLD    | $  142.93 | Demand: $133.55-$135.56 | Supply: $143.75-$145.99 | Dist: $  7.38 (305% ATR) [ ] | RR: 1:0.09 | Fresh: D✗S✓
 75. WRB    | $   72.00 | Demand: $63.38-$64.61 | Supply: $75.01-$77.41 | Dist: $  7.39 (504% ATR) [ ] | RR: 1:0.35 | Fresh: D✓S✓
 76. ARES   | $  131.50 | Demand: $118.97-$123.97 | Supply: $138.01-$143.17 | Dist: $  7.53 (181% ATR) [ ] | RR: 1:0.52 | Fresh: D✓S✓
 77. KKR    | $  106.33 | Demand: $93.84-$98.77 | Supply: $105.50-$108.36 | Dist: $  7.56 (218% ATR) [ ] | RR: 1:-0.07 | Fresh: D✗S✗
 78. VRSK   | $  179.38 | Demand: $169.00-$171.79 | Supply: $182.81-$194.36 | Dist: $  7.59 (126% ATR) [ ] | RR: 1:0.33 | Fresh: D✗S✓
 79. HWM    | $  236.98 | Demand: $223.38-$229.25 | Supply: $249.21-$256.50 | Dist: $  7.73 ( 96% ATR) [ ] | RR: 1:0.90 | Fresh: D✗S✓
 80. PODD   | $  147.34 | Demand: $130.12-$139.47 | Supply: $140.82-$150.32 | Dist: $  7.87 (166% ATR) [ ] | RR: 1:-0.38 | Fresh: D✗S✗
 81. BMY    | $   66.15 | Demand: $56.98-$58.19 | Supply: $63.27-$66.31 | Dist: $  7.97 (554% ATR) [ ] | RR: 1:-0.31 | Fresh: D✓S✗
 82. OMC    | $   80.22 | Demand: $70.04-$72.16 | Supply: $87.22-$88.95 | Dist: $  8.06 (351% ATR) [ ] | RR: 1:0.69 | Fresh: D✓S✓
 83. CTVA   | $   89.25 | Demand: $78.86-$80.93 | Supply: $87.93-$89.27 | Dist: $  8.32 (289% ATR) [ ] | RR: 1:-0.13 | Fresh: D✗S✗
 84. BAC    | $   59.87 | Demand: $50.64-$51.49 | Supply: $61.97-$62.91 | Dist: $  8.38 (530% ATR) [ ] | RR: 1:0.23 | Fresh: D✓S✓
 85. ADM    | $   87.57 | Demand: $76.93-$79.17 | Supply: $84.33-$88.25 | Dist: $  8.40 (322% ATR) [ ] | RR: 1:-0.30 | Fresh: D✓S✗
 86. LEN    | $   86.84 | Demand: $75.73-$78.35 | Supply: $90.87-$94.17 | Dist: $  8.49 (291% ATR) [ ] | RR: 1:0.36 | Fresh: D✗S✓
 87. CRH    | $   95.92 | Demand: $85.62-$87.31 | Supply: $98.85-$102.00 | Dist: $  8.61 (321% ATR) [ ] | RR: 1:0.28 | Fresh: D✗S✓
 88. MAS    | $   78.53 | Demand: $67.59-$69.72 | Supply: $78.79-$82.08 | Dist: $  8.81 (400% ATR) [ ] | RR: 1:0.02 | Fresh: D✗S✓
 89. CNC    | $   67.39 | Demand: $57.51-$58.54 | Supply: $67.05-$69.61 | Dist: $  8.85 (347% ATR) [ ] | RR: 1:-0.03 | Fresh: D✓S✗
 90. NOW    | $  143.47 | Demand: $130.73-$134.62 | Supply: $126.56-$149.56 | Dist: $  8.85 (143% ATR) [ ] | RR: 1:-1.33 | Fresh: D✓S✗
 91. MDT    | $   91.85 | Demand: $81.52-$82.98 | Supply: $91.73-$94.70 | Dist: $  8.87 (468% ATR) [ ] | RR: 1:-0.01 | Fresh: D✓S✗
 92. RDDT   | $  163.34 | Demand: $143.96-$154.15 | Supply: $166.80-$176.68 | Dist: $  9.19 (132% ATR) [ ] | RR: 1:0.18 | Fresh: D✗S✓
 93. MRSH   | $  178.48 | Demand: $162.45-$169.11 | Supply: $179.45-$185.64 | Dist: $  9.37 (240% ATR) [ ] | RR: 1:0.06 | Fresh: D✗S✓
 94. L      | $  118.97 | Demand: $107.93-$109.53 | Supply: $115.81-$119.07 | Dist: $  9.44 (467% ATR) [ ] | RR: 1:-0.29 | Fresh: D✗S✗
 95. ICE    | $  161.66 | Demand: $149.43-$151.88 | Supply: $161.10-$164.64 | Dist: $  9.78 (275% ATR) [ ] | RR: 1:-0.05 | Fresh: D✓S✗
 96. ZBH    | $   99.77 | Demand: $87.94-$89.91 | Supply: $97.61-$101.11 | Dist: $  9.86 (329% ATR) [ ] | RR: 1:-0.18 | Fresh: D✓S✗
 97. OKE    | $   97.17 | Demand: $83.59-$87.01 | Supply: $95.05-$99.24 | Dist: $ 10.16 (383% ATR) [ ] | RR: 1:-0.16 | Fresh: D✓S✗
 98. MTB    | $  238.01 | Demand: $224.87-$227.76 | Supply: $251.62-$255.64 | Dist: $ 10.25 (210% ATR) [ ] | RR: 1:1.04 | Fresh: D✗S✓
