========================================================================================================================
FOUND ZONES - BALANCED SENSITIVITY
Generated: 2026-09-23 06:35:35
========================================================================================================================

Total Zones Found: 120
Sorted by: Distance to Demand Zone (closest first)

 48. BX     | $  131.85 | Demand: $113.99-$119.65 | Supply: $141.69-$150.22 | Dist: $ 12.20 (302% ATR) [ ] | RR: 1:0.55 | Fresh: D✓S✓
 49. ALGN   | $  161.39 | Demand: $145.84-$149.10 | Supply: $166.07-$177.59 | Dist: $ 12.28 (269% ATR) [ ] | RR: 1:0.30 | Fresh: D✗S✓
 50. ADP    | $  284.31 | Demand: $268.01-$272.01 | Supply: $285.25-$287.85 | Dist: $ 12.30 (214% ATR) [ ] | RR: 1:0.06 | Fresh: D✗S✓
 51. APO    | $  133.92 | Demand: $116.70-$121.23 | Supply: $136.94-$144.07 | Dist: $ 12.69 (323% ATR) [ ] | RR: 1:0.18 | Fresh: D✓S✓
 52. ECHO   | $   99.87 | Demand: $85.36-$87.03 | Supply: $132.33-$147.04 | Dist: $ 12.84 (440% ATR) [ ] | RR: 1:2.24 | Fresh: D✓S✓
 53. BNY    | $  159.14 | Demand: $143.72-$146.16 | Supply: $161.21-$163.51 | Dist: $ 12.98 (375% ATR) [ ] | RR: 1:0.13 | Fresh: D✓S✓
 54. ARES   | $  131.50 | Demand: $105.83-$117.85 | Supply: $138.01-$143.17 | Dist: $ 13.65 (328% ATR) [ ] | RR: 1:0.25 | Fresh: D✓S✓
 55. HON    | $  222.34 | Demand: $204.29-$208.61 | Supply: $232.44-$236.03 | Dist: $ 13.73 (298% ATR) [ ] | RR: 1:0.56 | Fresh: D✗S✓
 56. CB     | $  356.16 | Demand: $337.25-$342.07 | Supply: $360.61-$365.84 | Dist: $ 14.09 (231% ATR) [ ] | RR: 1:0.24 | Fresh: D✗S✓
 57. GOOGL  | $  349.14 | Demand: $327.79-$333.21 | Supply: $358.54-$380.43 | Dist: $ 15.93 (194% ATR) [ ] | RR: 1:0.44 | Fresh: D✓S✗
 58. AKAM   | $  123.99 | Demand: $102.78-$107.79 | Supply: $154.90-$164.74 | Dist: $ 16.20 (298% ATR) [ ] | RR: 1:1.46 | Fresh: D✗S✓
 59. CINF   | $  176.05 | Demand: $156.65-$159.43 | Supply: $173.53-$183.33 | Dist: $ 16.62 (588% ATR) [ ] | RR: 1:-0.13 | Fresh: D✓S✗
 60. ROST   | $  248.47 | Demand: $226.24-$231.38 | Supply: $251.51-$256.45 | Dist: $ 17.09 (326% ATR) [ ] | RR: 1:0.14 | Fresh: D✗S✓
 61. DASH   | $  190.60 | Demand: $164.62-$173.48 | Supply: $211.21-$231.94 | Dist: $ 17.12 (256% ATR) [ ] | RR: 1:0.79 | Fresh: D✓S✓
 62. DPZ    | $  311.50 | Demand: $282.02-$294.28 | Supply: $310.72-$334.09 | Dist: $ 17.22 (186% ATR) [ ] | RR: 1:-0.03 | Fresh: D✓S✗
 63. ABNB   | $  170.84 | Demand: $149.58-$152.50 | Supply: $180.29-$184.22 | Dist: $ 18.34 (382% ATR) [ ] | RR: 1:0.44 | Fresh: D✓S✓
