TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
TT       $459.90    $14.65   $434.00-$442.59           $468.98-$487.74           $26.39   $8.59    0.326  
SYY      $89.25     $1.97    $77.79-$79.08             $83.03-$85.31             $3.95    $1.29    0.326  
EFA      $109.57    $1.22    $101.34-$102.90           $107.61-$108.82           $4.70    $1.56    0.332  
META     $687.75    $22.41   $557.01-$576.07           $633.27-$677.86           $57.20   $19.06   0.333  
ZTS      $77.69     $2.94    $71.47-$73.56             $79.81-$82.98             $6.25    $2.09    0.334  
ORCL     $150.05    $7.01    $127.60-$139.65           $175.28-$220.50           $35.63   $12.05   0.338  
MOS      $26.46     $0.99    $19.80-$21.22             $25.40-$26.96             $4.18    $1.42    0.341  
DVA      $194.24    $8.94    $176.59-$183.87           $204.98-$211.80           $21.11   $7.28    0.345  
NTAP     $203.69    $7.45    $157.06-$166.11           $192.30-$206.20           $26.19   $9.05    0.346  
BALL     $64.42     $1.55    $54.03-$55.90             $61.30-$63.94             $5.41    $1.87    0.346  
Q        $129.61    $6.83    $113.33-$121.99           $147.02-$161.83           $25.03   $8.66    0.346  
WST      $416.85    $10.11   $327.75-$336.82           $362.83-$367.66           $26.01   $9.06    0.349  
ARM      $280.68    $22.92   $232.67-$261.90           $344.68-$416.17           $82.78   $29.23   0.353  
DLTR     $125.22    $3.61    $109.50-$113.21           $123.50-$133.26           $10.29   $3.71    0.361  
GL       $185.83    $4.17    $159.81-$163.50           $173.62-$177.05           $10.12   $3.69    0.365  
BRK.B    $538.13    $8.15    $481.06-$486.47           $501.27-$513.44           $14.80   $5.41    0.366  
USB      $66.15     $1.09    $56.40-$57.68             $61.19-$63.39             $3.51    $1.28    0.366  
PTC      $140.49    $6.06    $108.50-$118.71           $146.27-$154.59           $27.56   $10.21   0.370  
MS       $223.65    $5.50    $205.83-$210.24           $222.12-$230.47           $11.88   $4.41    0.371  
TTD      $15.24     $1.29    $12.83-$14.57             $19.20-$20.59             $4.63    $1.74    0.376  
AVY      $180.60    $5.40    $156.00-$160.39           $172.05-$181.94           $11.66   $4.39    0.377  
HUBB     $485.09    $16.74   $441.64-$458.62           $503.55-$547.33           $44.93   $16.98   0.378  
BRO      $70.80     $2.33    $60.53-$62.34             $67.10-$70.08             $4.76    $1.81    0.380  
ERIE     $270.90    $9.18    $222.56-$230.00           $249.33-$259.80           $19.33   $7.44    0.385  
MKC      $54.91     $1.55    $45.72-$47.62             $52.55-$53.88             $4.93    $1.90    0.385  
BNY      $172.68    $2.58    $139.68-$146.45           $163.58-$165.84           $17.13   $6.77    0.395  
CMCSA    $26.63     $0.95    $22.38-$22.86             $24.07-$27.10             $1.21    $0.48    0.397  
EXE      $101.07    $2.86    $86.80-$90.28             $99.05-$100.13            $8.77    $3.48    0.397  
PNC      $261.45    $3.52    $231.59-$236.09           $247.34-$254.00           $11.25   $4.50    0.400  
SHW      $341.78    $10.95   $303.70-$310.70           $327.86-$353.67           $17.16   $7.00    0.408  
ASML     $1827.64   $75.97   $1530.64-$1621.46         $1839.00-$1913.70         $217.54  $90.82   0.417  
MSTR     $137.30    $5.46    $114.21-$120.94           $137.07-$144.92           $16.13   $6.73    0.418  
EME      $794.85    $36.05   $668.82-$711.08           $811.44-$853.02           $100.37  $42.25   0.421  
ROST     $245.70    $4.70    $207.00-$216.63           $239.16-$242.81           $22.53   $9.63    0.427  
TRI      $115.33    $6.34    $80.43-$83.53             $90.77-$108.29            $7.24    $3.10    0.428  
SLV      $58.66     $1.83    $50.31-$53.20             $59.87-$61.83             $6.66    $2.89    0.434  
KLAC     $175.62    $12.43   $169.81-$190.00           $236.00-$2431.29          $46.00   $20.19   0.439  
C        $144.59    $3.13    $127.08-$131.27           $140.76-$145.09           $9.49    $4.19    0.442  
MET      $105.00    $1.92    $85.38-$88.83             $96.65-$98.58             $7.82    $3.45    0.442  
WBD      $29.65     $0.54    $26.18-$26.87             $28.43-$28.68             $1.56    $0.69    0.442  
CCI      $78.75     $3.06    $69.72-$76.47             $91.43-$93.65             $14.96   $6.75    0.452  
STLD     $256.78    $8.06    $216.36-$236.12           $279.65-$285.88           $43.53   $19.76   0.454  
NDSN     $331.80    $4.66    $298.14-$307.74           $328.87-$338.55           $21.13   $9.60    0.454  
NVDA     $222.99    $7.92    $199.54-$207.07           $223.46-$233.71           $16.39   $7.53    0.459  
ECHO     $96.48     $4.21    $85.82-$92.36             $106.56-$131.22           $14.21   $6.54    0.460  
PPL      $36.28     $0.73    $33.76-$34.24             $35.27-$35.90             $1.03    $0.48    0.462  
ALLE     $174.30    $5.06    $128.74-$135.96           $151.56-$164.25           $15.60   $7.22    0.463  
CVS      $100.35    $2.88    $92.35-$94.39             $98.75-$102.77            $4.36    $2.04    0.468  
LUV      $40.74     $1.83    $37.58-$39.63             $44.00-$45.70             $4.37    $2.05    0.469  
TRGP     $325.50    $8.23    $268.69-$276.26           $292.03-$306.73           $15.77   $7.57    0.480  
BEN      $36.03     $0.96    $31.84-$32.93             $35.20-$35.86             $2.27    $1.09    0.480  
VEA      $74.13     $0.91    $68.60-$69.96             $72.77-$73.91             $2.81    $1.36    0.485  
PKG      $248.85    $7.14    $214.18-$226.20           $250.29-$256.44           $24.09   $12.02   0.499  
CINF     $180.62    $3.93    $166.73-$169.76           $175.72-$180.21           $5.97    $3.03    0.508  
VTI      $385.22    $4.32    $359.95-$364.79           $374.26-$381.74           $9.47    $4.84    0.511  
NEM      $129.39    $4.09    $97.37-$107.97            $128.69-$132.34           $20.72   $10.60   0.512  
NUE      $270.90    $8.38    $237.50-$245.86           $261.94-$268.80           $16.08   $8.36    0.520  
DXCM     $88.14     $3.26    $68.55-$73.69             $83.50-$87.85             $9.81    $5.14    0.524  
VTRS     $17.54     $0.55    $14.94-$15.52             $16.61-$17.16             $1.09    $0.58    0.525  
HIG      $158.82    $2.97    $127.41-$130.58           $136.54-$141.30           $5.96    $3.18    0.533  
DPZ      $330.75    $11.80   $282.00-$294.36           $317.54-$350.00           $23.18   $12.36   0.533  
VWO      $61.67     $0.70    $57.35-$58.64             $61.04-$61.53             $2.40    $1.29    0.535  
KHC      $26.08     $0.87    $23.97-$24.34             $25.04-$25.52             $0.70    $0.38    0.540  
CNC      $70.70     $2.78    $59.90-$62.41             $67.05-$69.29             $4.64    $2.51    0.541  
FANG     $220.49    $6.88    $189.44-$195.43           $206.47-$210.41           $11.04   $5.99    0.542  
HAL      $38.07     $1.05    $34.54-$36.12             $39.03-$40.67             $2.91    $1.58    0.543  
BKNG     $184.82    $8.28    $158.12-$168.44           $187.34-$204.61           $18.90   $10.32   0.546  
CAT      $826.01    $38.73   $776.00-$845.00           $970.05-$1057.07          $125.05  $69.00   0.552  
CPRT     $31.77     $1.02    $29.50-$30.89             $33.42-$34.62             $2.53    $1.39    0.552  
GDDY     $105.53    $5.77    $71.59-$79.51             $93.67-$106.00            $14.16   $7.92    0.559  
WM       $227.07    $4.56    $212.22-$215.10           $220.23-$225.19           $5.13    $2.88    0.561  
CSX      $51.34     $1.16    $45.15-$46.61             $49.20-$50.31             $2.59    $1.46    0.562  
XLU      $43.78     $0.79    $41.86-$42.56             $43.79-$44.28             $1.23    $0.70    0.569  
NFLX     $82.43     $2.19    $70.86-$73.96             $79.28-$82.00             $5.32    $3.10    0.583  
WMB      $77.69     $1.89    $70.77-$72.17             $74.59-$79.00             $2.42    $1.41    0.584  
STX      $817.74    $76.65   $801.89-$855.51           $946.24-$1032.52          $90.73   $53.62   0.591  
EOG      $158.45    $4.61    $134.44-$138.82           $146.22-$149.00           $7.40    $4.38    0.591  
